team1,team2,toss_winner,toss_decision,winner
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Daredevils
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Delhi Daredevils
Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Deccan Chargers
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils
Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians
Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,Pune Warriors
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers
Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians
Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Delhi Daredevils
Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians
Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Chennai Super Kings
Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Deccan Chargers
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore
Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,bat,Delhi Daredevils
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians
Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings
Mumbai Indians,Pune Warriors,Pune Warriors,field,Mumbai Indians
Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
